Customer State,Latitude (generated),Longitude (generated)
SUMATERA UTARA,2.2666,99.2632
SUMATERA SELATAN,-3.2787,104.2856
SUMATERA BARAT,-0.7839,100.878
SULAWESI UTARA,1.0217,124.6105
SULAWESI TENGGARA,-3.8409,121.8744
SULAWESI TENGAH,-0.9629,122.3906
SULAWESI SELATAN,-3.7965,119.9485
SULAWESI BARAT,-2.21,119.4106
RIAU,0.7045,101.5788
PAPUA BARAT,-2.2766,134.0471
PAPUA,-5.3106,139.4134
NUSA TENGGARA TIMUR,-8.5103,120.5974
NUSA TENGGARA BARAT,-8.5953,117.2712
MALUKU UTARA,0.6539,127.9319
MALUKU,-3.3243,130.2245
LAMPUNG,-4.8343,105.1183
KEPULAUAN RIAU,3.9307,108.1899
KEPULAUAN BANGKA BELITUNG,-2.3082,106.029
KALIMANTAN UTARA,2.7253,116.4505
KALIMANTAN TIMUR,0.0978,116.1289
KALIMANTAN TENGAH,-1.3755,113.449
KALIMANTAN SELATAN,-2.7387,115.5414
KALIMANTAN BARAT,-0.4802,111.106
JAWA TIMUR,-7.7688,112.2786
JAWA TENGAH,-7.3085,109.8546
JAWA BARAT,-6.869,107.6118
JAMBI,-1.7595,102.5492
GORONTALO,0.6726,122.2563
DKI JAKARTA,-6.2313,106.8459
DI YOGYAKARTA,-7.8726,110.4178
BENGKULU,-3.6032,102.4738
BANTEN,-6.4377,106.1342
BALI,-8.4555,115.2714
ACEH,3.9124,97.1252
